audio_file	reference	hypothesis
spontaneous-speech-rwm-57259.mp3	hanisa nguko kowa ba ngbeku ndibasuna li jibheti kibubhisiku kitinisa kandi kibuhoki ndiba kionga kandi kibuduwagebhei andulu kima njo nabo beyokiye nibalo na gonzasi sini sini	Kanisanukokohabhangbakundibasuali zibatikibsikuinisa kandi kibhuokina bhakinga kani kibhuduaeei nduukiaonaaoknabhali nagoaisinisn
spontaneous-speech-rwm-57262.mp3	Guba kokowa na mwani abhuyambi bhakpa nanga bhatandiki sasula fizi ndia bhaniki ndiabho ka masukulu bhabhasumbi dhudhu ndiekina kandi bhakpa bhaliki ndabho ndia abhongili kimui	Ka kokowa namwani abuaakpa nga bakpa bhaanikisasula izindia banikidiabho aabhaskolu bhakpa hsmbi uniekina kandi bhakpa bhibhaalikudabondiabhongilikimikim
spontaneous-speech-rwm-57264.mp3	Bhaki takatakana bizibu bia nabho bhaki lwalaga ndyala njo kadi nadwali njo bhaki kabhaga	Kkitakatakanaabiziga bhula sa bbazinabho bhakilalaga nda lajo kndi kitakatakaakabhaualijo bakjumagabu
spontaneous-speech-rwm-57265.mp3	Ka ngongwa mbili ndiasu kalibe bizibu na moti ndia bhakali na bhasika ndia bhakikoliliagaku nanga bhakali na bhasika kikilikaga imamoti ka sidha sidhana kandi na bhakali nabho bhakiyaga ka gulupu sa bisa na kwehoza	Ka gogwa mbili ndiaesu kalibbi amoti dibhakali nabhasiadibakoliagau naga ka gongwa bili ndiesu bhakali nibaska bkiklikagaamoti kasidasidana kandi na bhakali abho baikiyaga ka usabiza naeoa
spontaneous-speech-rwm-57266.mp3	Bhaniki ndibhasu egesabho sa asili kibhupesiage nsimo na mulingo nesi koliliagaku pesiana nguko ngenyabho na bhangbheku	Kanindi bhaaasasa sili kilikiagimamotinabo kibkibhupesiagesimo amolingo sinbakikoliliagaku apesanaguko genabho na bangbku
spontaneous-speech-rwm-57267.mp3	Ndia akidhuwa muikili mabhonga abhuokanyia ndiabha abhuikilia ali zibe eti aibi bizibu ndiabho kandi atunge nesiyo nesi akitoka konyelabho ka bizibu ndiabho njo dumbi okana abhe bei sobhe sobhe saki nabho	Kdiakehuamuikiili mabhongaabhuokaniabhakabhabhuikililia alizibeti aibibizibundiabo kanatungenesio nso akioonlabho abizibu ndiabho jumbibkana abhibesoesobhesakinabo
spontaneous-speech-rwm-57269.mp3	Nanga libho ali bwomezi kandi kalibho aliku kima akigbaga mibili ndiasu kima mindia kiyambaga mbili ndiasu akilikaga ka libho	Knaga libho alibwomezi andi alibhoalikukima i kkibaga ilindiasukma nindiaki iabaga bilindiasu akilikaga kalibho
spontaneous-speech-rwm-57270.mp3	Bhakoli ndibhakikolaga ka ka kima sabwomezi bizibu ndibhakyenaga ndia keteketa bhakpa bhakibikaga bhesiyabho nibhamadha na ndibhekina kidia bhakikoliliyaga mubazi ndibhakitugaga akibhaga ndia kamadhi na ndiakina namikia sente ndibhakibhupesiyaga kamadhi	Kakoli ndibakoaa a ssaomezi iibdibaknaga ikateket bakpa bakiugagaabubhamaa ndibhekina kindiabakikoliliaga wazi diabhakiugaa ka madi nandiki akiasnidibhakibupesag kamadi
spontaneous-speech-rwm-57273.mp3	Bhakilikaga nabho imamoti kandi ali buzunanizibwa ndiabho yambako nanga bhakilikaga Imamoti	Khakilikaga nabho ma moti kaili bhuunaniibuandia biambag ambagahago nibai na bizibu anga bhakilikaa abo imamoi
spontaneous-speech-rwm-57303.mp3	Nikiyaga ka ima nihumuleku dakika mamadha busumi ndiekina nikiyaga aa ka kinabilo nioge aa busumi ndiekina dhe nikidhetaga	Knikiaga kama iumuliku dakika mabada sumindia kina nikiaga kinabilo niage sumndi kina dnikidtaga
spontaneous-speech-rwm-57315.mp3	Nabeni ogietagisa wogisage na libho mabena kudhakia ogisai obise ome ogole na pasi kudhakia golai obise kulungi ololage dou moti kedha dou bhali andulu olole ndiekina	Kna benikpatagi ogisagea libho mabena udhakiagisaiois me ogole na pasi kdakia gola obisia kuungi toiololageomotukele dobhali andindu dekin
spontaneous-speech-rwm-57321.mp3	Ndie nkikolaga nkiyaga ka tiko nibala ndie nkisobola hongelaibe niya ka katale na mikia sente ndiamo nisumba lieli ndie nkitoka bisaibe hongela muhendo ndia akitota dhakia emi na bhaniki ndibhamo	Kndikikolga kiyaga atiko dibandiakisoba glabe ia ka katale nakia snindiamo nsubaieli ndiakisoba saibe ngila mohndo diknaika jindiakidakia mi haniki ndibam
spontaneous-speech-rwm-57353.mp3	dhakiabhle bizibu ndiasu makanga tongana akyetagua lika nikikibuduabe bangbeku ndibha bhakitoka hanulilasu na bhesu nikiki bhuhanulilya kizibe eti kiokania andulu bizibu ndia kigodilia inji inji injo ingililiasu sini	Khakiabibezibo ndiasakangatonganaakitagisalikanikikbodaba bhankakba bakitokainoliliasunabasuniekikbhanolilia kizbeikiokania anulubizibu niakigoilia injnngiliausini
spontaneous-speech-rwm-57361.mp3	Ka kweyambiya lieli ndia kudhedhi sini-sini osemelelu ziba eti osemelelu sukusa kindia okweyambilia kandi otungi libho magenenuka kandi owambili ka kikalo mabhonga andulu ozibe eti lieli injo kabidha akukudhedha kandi nawe oliye nosemelelu	Kakweambialiliniakdhisiisinislizibetkiskusa kidiokambilia kandi li magnnk andi ambilikabikalomabhoga auluzibetiilinokabidha akukuda kandi nolinosili
spontaneous-speech-rwm-57367.mp3	Nesiyo ndia nkpa asemelelu okiliaku makulu kedha kima poni ndia aleukanio asemelelu abhe na nkia kalediyo nkia lediyo ndiaki akintoliaga ndiaka kona-na-kona poni kedha aiba kima poni ndia aleukanio ka nsi poni	Kisiondiakpa asmeliliu okiliakumaklukdha kima ponndialkania aslilua namikaldio kaldiondiaki akintoliaga ndiakakon nakonapnikdha aiba kia poni ndialukakasiponi
spontaneous-speech-rwm-57373.mp3	Hhh ndiadhu bhakpa biabho bhakakozese nguwa ndia alibe sebhalisiyo ndia kateketa atembia ndia kebhali ekietagisibwa lika nolia kucajinga masnalaji buli ka kyalo poni kaliku	Kdiadubakpa biya bhabhakakoisguandialibsabhaisikat nguanjo atembia ndiakibali kieteisagalika nolikuazinga imasaiulikakalopni kaliku
spontaneous-speech-rwm-57374.mp3	Mbula ka dhaka tolo poni ndie kikolga nkiesaga ka inji nilika na bhaniki ndibhamo dumbi kiamba mikia lieli ndia ali ka inji dumbi kilia imamoti lindua mbula nasi	Kbula kadhokatoloponi ndikikolaankilia kaijiilika nbhanikinibhamo dmbi kibaikalili ndiali kajikiliamamotilindbua na
spontaneous-speech-rwm-57383.mp3	Humahuma kenge kutukembe subha ndabho ndyako ndyokuteketagha kolai ali teketa saabha kudhakiya ku saabha dhumbi yohoga keiso bhenjo ndibhali na ndabho ndyabho ki ndia bhakinyelaga bhateteka yeyambabhe bhanyela	Kamakkuukbubanab ndiakonakukaga klai alieeasaba kdhakiakusaba mbi ogikeisobnoba banandab ndiabhokidibaktaganla batababian
spontaneous-speech-rwm-57439.mp3	Bhikintakia nkap nali ka bbakisia mulemi ndie kikinkola bhesu kikidaka keyongela kinduwe menjo dumbi kimbale nkpa midia ali bhia bhotuaki aonge ndie naye	Kkintangiapa nalika bakisia mulimindiakikikola sikikidkakeongela nduwemejo bi ibalipauiia bhotungendienai
spontaneous-speech-rwm-57459.mp3	Kiki na hiba namba ndiabho kagogwabili kilinahiba bha kiesaga bhoni Kali na hiba lyaga ndiabho bha kilyaga bhoni kili nahibha bwomezi ndiabho atelemi bhoni	Kili na iba abandiabokokongwai kilinaba bhakilika gabhoni kilinaba diaga ndiabhuwakiliagabhoni klinaiba ntiobendiabho atelemi bhoni
spontaneous-speech-rwm-57476.mp3	Ndia kiidhuwa nkpa atuke ka kyalo ate ka tauni alizibe eti alina sente sa kwemeisaku akisola tunge kindia akipangisia abiseku mikia sente ndia nanga magezi tauni ni magezi	Kakiduakpatukikakialoaekatani lizibel snakumesab bo tungakindiandiasia abisikumikasnindiakatuga mikiasnkindiakili a magezi tniani magzi
spontaneous-speech-rwm-57482.mp3	Ka bwomezi ndiamo kindineyokiya ninidhedhelu sini-sini abha tolo sa zibe eti nimbokoti miki mindia kateketa toli ka toloi injo nisemeleluwa sini-sini ninkikola na bhugeni	Kabwomezindiamo kindianiaokia ninusisiniabha olo sa zibeti ibokutimikiinia katketa olikatolo lio isemeleasnisikikola na bugn
spontaneous-speech-rwm-57487.mp3	Bhakpa tunga makulu sebhalisio ndibhekina bhakikozesaga telefoni ndibhekina bhakozesa ledio ndibhekina bhakozesa televizoni na ndibhekina bhaisa makuku eti bhuye bhubhutolie ndibhekina	Kbatunga makulu sabhalisndibekinbakosaga leoni bkinaakosadio anibikinabakaleizonanibkiaisa maku abotika tbobhoutoi ibekina
spontaneous-speech-rwm-57496.mp3	Ali sa mugaso kebhela bhaluku na bhakali bhobhalili kebhelabho mikya mbuka sa kabhondo nanga teisana teisana bhigingo injo nanga bhigingo injo kakilamaga	Kalisa mugaso kebeabhaluku nabhakalibo bhalilikebelabho kikiambuka sakabhono nanga tsa a bhugingno agabhugingnjo kakilamisaga
spontaneous-speech-rwm-57508.mp3	Lyeli poni ndia kilibwaga nkali mudiali kalugisa asemelelu liyahia asemelelu abhe na masuwa kigambo masuwa alikikulu ka kali mudia ghei lugisa	Klieliponi ndia kilebaga nkaiindia kaluisaaliauliaiaitsemlua bhena aa kigambomasua alikikuliaindialiakilis
spontaneous-speech-rwm-57510.mp3	Kwesengasengiya ali na mulimo ali na mugaso kasomesa asili ndyako nalakudhoibhe jiba nti okabhala lamiyai akolieki akuyambe otunge kasinge dhumbi obhe kulungi	Kesengasngia ali namka mugaso kakasumis asili ndiakunalakundui jibeti okabalalamiaiakoeki akuabotikasi ui bhekulngi
spontaneous-speech-rwm-57513.mp3	Kyeyoka ninilelagi nkiyaga nihaga nilalabhe bya dhakika komi ni mha dhubhi ni nuwa libho niya nihoga aaa nkikolaga to bhinjo	Kykia nlilagi kiaga nianga nilalabebhiadakika kmiimambiinualibho ianiogakolaga tobino
spontaneous-speech-rwm-57524.mp3	Nkiteketaga niziba ka inji ndiamo nti ali bhoni dumbi niya nisukumana nisaba Mambombi dumbi niya nianga	Ktekataga niziba kajitialibhoni dmbi iasukumana saba mabombi nmbinanianga
spontaneous-speech-rwm-57536.mp3	Pesiana ganyo ali sa mugaso nanga alibe ndio bhukuegaga ka ganya kandi alibe ndia akibhubikisaga imamoti bhulika imamoti na kubhotu atandikilia menjo	Kesi na ana sa mugaso na lib ndibhokegaga kagana libe iboikiisaimamoti bhulika momotibekumesa akubhot atandikiliamnjo
spontaneous-speech-rwm-57544.mp3	Ali sa mugaso gbelia ndibhekina kobhu nanga newe uma kakubhabe akukuyamba kandi kumuyamba nkpa akukukaninlia	Klisa mogaso beliiikinia kobhu nanga niba kakubabeakukuyamba kanikumuaapa akukukanilia
spontaneous-speech-rwm-57548.mp3	Nkpa nibhandimagi akieyokiaga zidhi nanga akibaga eti kali moti kowa bhenjo dumbi ndia akitukagaku akizibaga eti kise bhakambali ka ka kidia alio	Kpa nibandi aagiakikiagazi naga akibageti kalimotikoabeno dumiiakiukagakuizibageti is bakambali indiali
spontaneous-speech-rwm-57554.mp3	Ali na mugaso lika ogako tolo poni nanga kozo kakulofukani osoboli nakuwako yau nanga bulofu akibikisaga ndwali	Kli na mugaso ikoga kotoloponi nanga kozulo kakulo ukana osboli na kakoaangaulokisa andai
spontaneous-speech-rwm-57564.mp3	Ali sa mugaso dhua lika ombisa kima ndiasu nanga ndibhekina bhakakigbaga kulungi ndibhekina bhakiluza bhabike sikisia nala luzukani	Kli sambugasika obisakimadiaaga ibeknbbaga kulngi kibhakiluza abikesikisiaalaluukan
spontaneous-speech-rwm-57569.mp3	Bhakpa bheyoki zidhi nanga bhakali na kima sa tandikiliabe bhakali na kima sa kwemeisa kindiekina bhakpa bhali kulungi bhakazibi kulungi bba	Kkpa bhiokiili nanga bakali nakia satanikiliab bakaliakima sakmesa kindana bakpaalikulngi bhakabkulungib
spontaneous-speech-rwm-57572.mp3	Ka buyonjo bhalalemi ndibha ka ngongwa mbili ndiasu kalibe ndia bhakikolaga bhaitu bhabhi kibha nibhakibhueka bhakpa bha soloza buyonjo injo poni bhabhutolia bhakpa kima ndia bhagbokiliani kolai ogisa na komba na kima poni ndia akisobola telemisabe inji mabhonga	Kauoo bhalimindibka goga bili naskaiba di bakolaga bihaikibanibakibia kabapa asolozabuojo jopnibbatlia bakpa ndibhabkniikolaiogisa a kombaakindsobea tlimisabe ji mabho
spontaneous-speech-rwm-57579.mp3	Bizibu ndie nikoliliku koliliku kolisa dhetaga sa basi kedha takisi kowemi ali inja inja nanigbei kedha nyota nanigbei kedha nkya tabu nala nitinikiliagi dumbi nitekeleza nti nkya tabu yoho niki tunga bhoni	Kibo n nikolilikukoietagansaasikedha taikoemi li jijanabi kedhatanabidhaikiatabuna a nitnikiliagi keliikanabikatankingabhkima maulingolinjakidhuaga tklia kisaditaa saba
spontaneous-speech-rwm-57582.mp3	Bhakpa ka ngongwa mbili ndiasu bhakigbananaga immoti ka gulupu sa bisa na kopesana dumbi bheyamba subula na yamba nkpa mindia akabala egesa miki mindiaki bhaniki ndibhabho yabho ka sukulu	Khakpaka agabili ndiasubakikbananagai mamoti kaglupusaisa nakopesana dmbi beyamba ubula nayamba kpamuliakaala egesa ikidiaki bandibanikiko bhanikiibabo abho ksu
spontaneous-speech-rwm-57592.mp3	Ali mugaso bhaniki isabho tunga kikato nanga alibe ndwali ndiekina ndia akibikaga kakutana kantana miki nali na kikato ndwali injo kakingbaga ati ndwali biai ndiekina kali na mubazi kise miki katunga kikato yau akibhaga nekengeli ndwali ndia akibika	Kliugas baikisabotuga kikato nanga libi ndali ndiiakibikaga taka na miki nnakikato nali njokakibaka ati ndali biainikia kali naubakisikikatga kikato auakia geli ndali ndia kibi
spontaneous-speech-rwm-57593.mp3	Ka bwomezi ndiamo ndie nkikanilia ali tolo ndie nitunga bbaluwa nakinieka eti niye niye nitakane na bhakpa ndibhekina ka kyalo ndiekina ka ka ka Nailobbi kima injo anidhedha nana emi yami ka Nailobbi dhaka ndiamo sa Kwamba anisaku ndulu	Kabubeindimiakikanilialitolo nianituga bauaakti ienitkaninabakp dibekna katsalo niekikaobi kimai dhanagamikanaobi aiamosakambanisakund
spontaneous-speech-rwm-57603.mp3	Nesiyo ka ngongwa mbili ndiasu nesiyo injo ali sa dhudhu kandi mbula ka dhoka akitalibanijaga bhakpa sini sini nesiyo injo kabhongi kulungi bba nanga ali nesiyo ndia kadhudhu	Kesiyo kakongwa bili ndiasunsiyojo ali siadodu andi bule akidhokaakitalibaniiaga bakpa sinisini isiojokabhongi kulongibaanga li nisiodiakad
spontaneous-speech-rwm-57615.mp3	Mulimo ndia abgeibe mulimo sa ali kisomo na kibhoko ka nsi sa bhokotiana oho ali kisomo nanga kekubhe nosomi kalibe na kima poni ndio okuibhaga deni injo andulu ndien nigi eti mulimo poni ndia abgeibe injo ilali kisomo	Kmulimo ndiabibe sakisomo nakibhokasisabhokotiana hoalikisomo aa kikube smi kkalib nakiapokgan iai mulimpnindiagbibenounianikismo
